OriginalOwningTeamId,OriginalOwningTeamName,OriginalOwningTenantName,EligibleIncidentCount,AutoTransferCount,AutoLinkCount,AutoAnyActionCount,AutoTransferCorrectCount,AutoLinkCorrectCount,AutoTransferIncorrectCount,AutoLinkIncorrectCount,ReworkCount,ManualTransferAfterAutoCount,ManualRelationshipUpdateAfterAutoCount,TransferLatencyP50Sec,TransferLatencyP95Sec,LinkLatencyP50Sec,LinkLatencyP95Sec,FirstAutoActionLatencyP50Sec,FirstAutoActionLatencyP95Sec,AutoTransferCoveragePct,AutoLinkCoveragePct,AutoAnyCoveragePct,AutoTransferCorrectnessPct,AutoLinkCorrectnessPct,ReworkRatePct,ManualTransferAfterAutoPct,ManualRelationshipUpdateAfterAutoPct
140105,CLOUDNET\AvnmIPAM,Cloudnet,7,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,,,,,
135033,CLOUDNET\AvnmInsights,Cloudnet,8,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,,,,,
75939,CLOUDNET\IDC-NRP,Cloudnet,2,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,,,,,
60163,CLOUDNET\ManagedNetworkController,Cloudnet,570,2,0,2,1,0,1,0,1,1,1,255,614,,,255,614,0.0035087719298245615,0.0,0.0035087719298245615,0.5,,0.5,0.5,0.5
10549,CLOUDNET\NRP,Cloudnet,278,52,2,54,47,1,5,1,6,5,19,638,6092,7347,66695,673,15583,0.18705035971223022,0.007194244604316547,0.19424460431654678,0.9038461538461539,0.5,0.1111111111111111,0.09259259259259259,0.35185185185185186
93543,CLOUDNET\NRPTriage,Cloudnet,2,1,0,1,1,0,0,0,0,0,0,333,333,,,333,333,0.5,0.0,0.5,1.0,,0.0,0.0,0.0
10475,CLOUDNET\NetworkManager,Cloudnet,3312,17,2,18,13,2,4,0,4,4,3,83,1365,857,264813,83,1365,0.005132850241545894,0.0006038647342995169,0.005434782608695652,0.7647058823529411,1.0,0.2222222222222222,0.2222222222222222,0.16666666666666666
67334,CLOUDNET\NsmPlus,Cloudnet,15,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,,,,,
68685,CLOUDNET\PrivateLink_ControlPlane,Cloudnet,11,1,0,1,1,0,0,0,0,0,1,34,34,,,34,34,0.09090909090909091,0.0,0.09090909090909091,1.0,,0.0,0.0,1.0
82812,CLOUDNET\RNC,Cloudnet,126,58,0,58,45,0,13,0,13,13,20,122,1210,,,122,1210,0.4603174603174603,0.0,0.4603174603174603,0.7758620689655172,,0.22413793103448276,0.22413793103448276,0.3448275862068966
105484,CLOUDNET\RNCTriage,Cloudnet,3,3,0,3,2,0,1,0,1,1,0,1367,1376,,,1367,1376,1.0,0.0,1.0,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.0
10661,CLOUDNET\RNM,Cloudnet,497,403,38,420,373,38,30,0,30,30,183,124,1234,150,92117,123,1234,0.8108651911468813,0.07645875251509054,0.8450704225352113,0.9255583126550868,1.0,0.07142857142857142,0.07142857142857142,0.4357142857142857
82813,CLOUDNET\RNMTriage,Cloudnet,8,4,1,5,2,1,2,0,2,2,0,1214,1249,323,323,1214,1249,0.5,0.125,0.625,0.5,1.0,0.4,0.4,0.0
42690,CLOUDNET\SDN-NRP,Cloudnet,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,,,,,
